document_id,page_index,heading_text,condition,detector_status,verification_status
INE002B01016_2012,2,Management Discussion and Analysis Report,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2012,16,Management Discussion and Analysis Report forms part of the Report of the Directors.,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2013,2,Management Discussion and Analysis Report,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2013,14,Management Discussion and Analysis Report forms part of the Report of the Directors.,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2017,2,Management Discussion and Analysis Report,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2017,12,Review of Operations,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2017,12,Review of operations of Wholly owned subsidiary,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2017,13,Management Discussion and Analysis Report is annexed to this Report.,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2017,13,Management Discussion and Analysis Report is annexed to this Report.,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2017,25,The Management Discussion and Analysis Report forms part of the Annual Report.,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2017,30,Management Discussion and Analysis is annexed to the Directors’ Report to shareholders and forms par,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2017,36,"Statements in this management discussion and analysis describing the Company’s objectives, projectio",mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2018,3,Management Discussion and Analysis Report,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2018,11,Review of Operations,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2018,11,Review of operations of wholly owned subsidiary,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2018,12,Management Discussion and Analysis Report is annexed to this Report.,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2018,25,The Management Discussion and Analysis Report forms part of the Annual Report.,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE002B01016_2018,29,Management Discussion and Analysis is annexed to the Directors’ Report to shareholders and forms par,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
